campaignid,Date,Sample,Time.bottom,Time.end,Depth,Raw.hdd.number,Con.hdd.number,Longitude,Latitude,Comment,planned.or.exploratory,FishnClipz,Habitat.image.exported,Downwards.image.exported,Status,Site,Location,Marine.region,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
2021-03_West-Coast_BOSS,20210308,148,7:36:19,7:43:05,46.6,RAW2,CON1,114.925,-34.0518,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,
2021-03_West-Coast_BOSS,20210308,2,7:48:50,7:55:23,47.3,RAW2,CON1,114.924,-34.0604,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,check wrasse
2021-03_West-Coast_BOSS,20210308,99,8:00:44,8:07:05,47.2,RAW2,CON1,114.916,-34.0555,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,
2021-03_West-Coast_BOSS,20210308,127,8:10:54,8:16:59,44,RAW2,CON1,114.91,-34.0545,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,very fishy. baldie after period
2021-03_West-Coast_BOSS,20210308,43,8:19:45,8:26:33,45.5,RAW2,CON1,114.909,-34.0521,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210625,,,,
2021-03_West-Coast_BOSS,20210308,110,8:29:42,8:36:02,45,RAW2,CON1,114.907,-34.0505,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
2021-03_West-Coast_BOSS,20210308,139,8:42:53,8:49:37,44,RAW2,CON1,114.898,-34.0616,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
2021-03_West-Coast_BOSS,20210308,133,8:57:52,9:09:08,44,RAW2,CON1,114.911,-34.075,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,"weird fish looks like a naso? silver baitfish with dhuey, far off fish cant ID, lots of demersals"
2021-03_West-Coast_BOSS,20210308,52,9:08:49,9:15:05,46.1,RAW2,CON1,114.915,-34.0826,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
2021-03_West-Coast_BOSS,20210308,91,9:21:33,9:27:50,44.8,RAW2,CON1,114.928,-34.0807,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210628,,,,
2021-03_West-Coast_BOSS,20210308,47,9:32:14,9:38:00,45.1,RAW2,CON1,114.926,-34.0832,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
2021-03_West-Coast_BOSS,20210308,16,9:42:04,9:48:02,44.1,RAW2,CON1,114.924,-34.0848,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,"really difficult to see bullseyes, estimate is pretty shit? try find original footage"
2021-03_West-Coast_BOSS,20210308,38,9:54:17,10:00:41,45.4,RAW2,CON1,114.917,-34.0904,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
2021-03_West-Coast_BOSS,20210308,71,10:05:26,10:12:21,43.5,RAW2,CON1,114.908,-34.0923,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
2021-03_West-Coast_BOSS,20210308,14,10:15:13,10:22:20,43.6,RAW2,CON1,114.913,-34.0979,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,boarfish!
2021-03_West-Coast_BOSS,20210308,150,10:25:02,10:31:20,44.6,RAW2,CON1,114.917,-34.1,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
2021-03_West-Coast_BOSS,20210308,92,10:32:55,10:38:56,44.3,RAW2,CON1,114.918,-34.101,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
2021-03_West-Coast_BOSS,20210308,28,10:41:55,10:48:02,47,RAW2,CON1,114.923,-34.0995,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,
2021-03_West-Coast_BOSS,20210308,124,10:51:39,10:57:52,45,RAW2,CON1,114.929,-34.1003,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,,Claude,20210629,,,,skippy and queenie after period
2021-03_West-Coast_BOSS,20210308,53,11:03:15,11:10:10,45.4,RAW2,CON1,114.92,-34.1047,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,bottom light turns off,Claude,20210630,,,,
