campaignid,sample,latitude,longitude,date,time.bottom,site,location,visibility,image,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Consolidated,broad.Macroalgae,broad.Seagrasses,broad.Sponges,broad.Stony corals,broad.Unconsolidated,broad.Unknown,Total.Sum
2021-04_FRDC_BOSS,C531,-32.76659665,115.5525567,7/04/2021,7:09:57,Mandurah,Perth,Good,Top,0,100,2.94,0.239897937,0,70,0,0,0,2,5,77
2021-04_FRDC_BOSS,C547,-32.76324364,115.5633417,7/04/2021,7:23:47,Mandurah,Perth,Good,Top,0,100,2.961538462,0.194183909,0,73,0,0,0,1,6,80
2021-04_FRDC_BOSS,C563,-32.76636044,115.5660562,7/04/2021,7:32:17,Mandurah,Perth,Good,Top,0,100,0.618181818,0.560783483,0,9,0,0,0,66,0,75
2021-04_FRDC_BOSS,C539,-32.76821772,115.568033,7/04/2021,7:48:52,Mandurah,Perth,Good,Top,0,100,1.12,0.328260723,0,10,0,0,0,68,0,78
2021-04_FRDC_BOSS,C527,-32.78049273,115.5637257,7/04/2021,8:05:29,Mandurah,Perth,Good,Top,0,100,0.966666667,0.181020335,0,15,0,0,0,64,0,79
2021-04_FRDC_BOSS,C543,-32.78180705,115.5719847,7/04/2021,8:16:40,Mandurah,Perth,Good,Top,0,100,2.966666667,0.181020335,0,78,0,0,0,2,0,80
2021-04_FRDC_BOSS,C516,-32.78580484,115.5784373,7/04/2021,8:25:37,Mandurah,Perth,Good,Top,0,100,3,0,0,76,0,0,0,0,1,77
2021-04_FRDC_BOSS,C514,-32.78854957,115.585758,7/04/2021,8:34:52,Mandurah,Perth,Good,Top,0,100,2.960784314,0.196039212,0,23,37,0,0,1,8,69
2021-04_FRDC_BOSS,C512,-32.77082479,115.5822387,7/04/2021,8:46:53,Mandurah,Perth,Good,Top,0,100,2.916666667,0.278717807,0,78,0,0,0,0,0,78
2021-04_FRDC_BOSS,C503,-32.77256581,115.587531,7/04/2021,8:54:51,Mandurah,Perth,Good,Top,0,100,1.583333333,0.743141902,0,0,45,0,0,29,5,79
2021-04_FRDC_BOSS,C557,-32.77715895,115.5913896,7/04/2021,9:06:16,Mandurah,Perth,Good,Top,0,100,0.74137931,0.663862827,0,0,36,0,0,44,0,80
2021-04_FRDC_BOSS,C518,-32.77374556,115.5998587,7/04/2021,9:16:45,Mandurah,Perth,Good,Top,0,100,2.152542373,0.886946706,0,0,52,0,0,27,1,80
2021-04_FRDC_BOSS,C522,-32.78234333,115.6084667,7/04/2021,9:27:09,Mandurah,Perth,Good,Top,0,100,2.927272727,0.325152127,0,0,64,0,0,4,7,75
2021-04_FRDC_BOSS,C507,-32.79069333,115.6062517,7/04/2021,9:37:35,Mandurah,Perth,Good,Bottom,0,100,3,0,0,23,19,0,0,0,16,58
2021-04_FRDC_BOSS,C560,-32.78541033,115.6260875,7/04/2021,9:50:19,Mandurah,Perth,Good,Bottom,0,100,0,0,0,0,0,0,0,56,0,56
2021-04_FRDC_BOSS,C502,-32.77867667,115.6246683,7/04/2021,10:00:39,Mandurah,Perth,Good,Bottom,0,100,0,0,0,0,0,0,0,73,0,73
2021-04_FRDC_BOSS,C534,-32.76245833,115.6164933,7/04/2021,10:12:16,Mandurah,Perth,Good,Bottom,0,100,0.05,0.220721428,0,0,0,0,0,54,0,54
2021-04_FRDC_BOSS,C550,-32.76053,115.6094833,7/04/2021,10:20:44,Mandurah,Perth,Good,Bottom,0,100,3,0,0,3,59,0,0,0,6,68
