campaignid,sample,latitude,longitude,broad.macroalgae,broad.seagrasses,broad.unconsolidated,broad.sponges,broad.consolidated,broad.stony.corals,broad.ascidians,broad.bryozoa,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.octocoral.black,broad.true.anemones,broad.sea.stars,broad.total.points.annotated
2007-2014-Geographe-stereo-BRUVs,MF-GB019,-33.6076042,115.2028047,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2007-2014-Geographe-stereo-BRUVs,MF-GB044,-33.57129911,115.1604992,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5
2007-2014-Geographe-stereo-BRUVs,MF-GB047,-33.59060326,115.1982978,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB057,-33.57690392,115.1140983,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB064,-33.58179718,115.1880948,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2007-2014-Geographe-stereo-BRUVs,MF-GB074,-33.57319811,115.1164951,2,0,8,0,0,0,0,0,0,0,0,0,0,0,8
2007-2014-Geographe-stereo-BRUVs,MF-GB077,-33.56839999,115.1378959,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB080,-33.57639775,115.2168001,0,8,2,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB091,-33.55389636,115.1479006,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB109,-33.55410455,115.0939042,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB113,-33.56969737,115.2362963,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2007-2014-Geographe-stereo-BRUVs,MF-GB128,-33.56540445,115.2369006,4,0,6,0,0,0,0,0,0,0,0,0,0,0,6
2007-2014-Geographe-stereo-BRUVs,MF-GB145,-33.54539738,115.1344049,0,4,6,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB168,-33.54850245,115.1340043,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB192,-33.53959924,115.1130031,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB199,-33.53719702,115.1109986,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB221,-33.52649658,115.0889008,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,MF-GB228,-33.5245989,115.090396,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2
2007-2014-Geographe-stereo-BRUVs,1,-33.3635,115.2142,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
2007-2014-Geographe-stereo-BRUVs,2,-33.4405,115.101,0,0,7,7,0,0,0,0,0,0,0,0,0,0,14
2007-2014-Geographe-stereo-BRUVs,3,-33.4921,115.3549,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
2007-2014-Geographe-stereo-BRUVs,4,-33.3921,115.2281,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
2007-2014-Geographe-stereo-BRUVs,5,-33.3628,115.455,2,2,15,0,0,0,0,0,0,0,0,0,0,0,17
2007-2014-Geographe-stereo-BRUVs,6,-33.4071,115.1204,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
2007-2014-Geographe-stereo-BRUVs,7,-33.4205,115.4457,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22
2007-2014-Geographe-stereo-BRUVs,9,-33.3643,115.1361,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2007-2014-Geographe-stereo-BRUVs,10,-33.5282,115.3313,3,9,7,0,0,0,0,0,0,0,0,0,0,0,16
2007-2014-Geographe-stereo-BRUVs,11,-33.5712,115.2958,1,15,4,0,0,0,0,0,0,0,0,0,0,0,19
2007-2014-Geographe-stereo-BRUVs,12,-33.404,115.2616,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
2007-2014-Geographe-stereo-BRUVs,13,-33.4502,115.0925,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19
2007-2014-Geographe-stereo-BRUVs,14,-33.5297,115.413,18,0,2,0,0,0,0,0,0,0,0,0,0,0,2
2007-2014-Geographe-stereo-BRUVs,15,-33.5782,115.2148,0,15,3,0,0,0,0,0,0,0,0,0,0,0,18
2007-2014-Geographe-stereo-BRUVs,16,-33.3889,115.4986,14,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2007-2014-Geographe-stereo-BRUVs,17,-33.3636,115.2327,2,2,13,1,0,0,0,0,0,0,0,0,0,0,16
2007-2014-Geographe-stereo-BRUVs,18,-33.3926,115.0981,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
2007-2014-Geographe-stereo-BRUVs,19,-33.4605,115.3618,0,2,20,0,0,0,0,0,0,0,0,0,0,0,22
2007-2014-Geographe-stereo-BRUVs,20,-33.4339,115.2221,0,1,19,0,0,0,0,0,0,0,0,0,0,0,20
2007-2014-Geographe-stereo-BRUVs,22,-33.5746,115.1807,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2007-2014-Geographe-stereo-BRUVs,23,-33.5042,115.4289,15,6,13,0,0,0,0,0,0,0,0,0,0,0,19
